,subjects,timestart,timeend,samplestart,sampleend,duration_mins,duration_secs
0,"['26', '27', '28', '37']",1900-01-01 00:18:00,1900-01-01 00:19:32,21600,23440,1.53,92.0
1,"['21', '22', '5', '1']",1900-01-01 00:18:00,1900-01-01 00:28:00,21600,33600,10.0,600.0
2,"['9', '4', '23', '20']",1900-01-01 00:18:00,1900-01-01 00:19:10,21600,23000,1.17,70.0
3,"['12', '11', '15']",1900-01-01 00:18:00,1900-01-01 00:20:19,21600,24380,2.32,139.0
4,['10'],1900-01-01 00:18:00,1900-01-01 00:24:01,21600,28820,6.02,361.0
5,['35'],1900-01-01 00:18:00,1900-01-01 00:19:20,21600,23200,1.33,80.0
6,"['13', '36']",1900-01-01 00:18:00,1900-01-01 00:19:08,21600,22960,1.13,68.0
7,"['29', '3']",1900-01-01 00:18:00,1900-01-01 00:28:00,21600,33600,10.0,600.0
8,"['14', '31', '25', '2']",1900-01-01 00:18:00,1900-01-01 00:18:25,21600,22100,0.42,25.0
9,"['24', '8']",1900-01-01 00:18:00,1900-01-01 00:18:39,21600,22380,0.65,39.0
10,['7'],1900-01-01 00:18:13,1900-01-01 00:24:33,21860,29460,6.33,380.0
11,"['14', '25']",1900-01-01 00:18:25,1900-01-01 00:25:46,22100,30920,7.35,441.0
12,"['31', '2']",1900-01-01 00:18:25,1900-01-01 00:19:08,22100,22960,0.72,43.0
13,['24'],1900-01-01 00:18:39,1900-01-01 00:19:03,22380,22860,0.4,24.0
14,['8'],1900-01-01 00:18:39,1900-01-01 00:19:03,22380,22860,0.4,24.0
15,"['24', '8']",1900-01-01 00:19:03,1900-01-01 00:25:25,22860,30500,6.37,382.0
16,"['31', '2', '13', '36']",1900-01-01 00:19:08,1900-01-01 00:19:52,22960,23840,0.73,44.0
17,"['4', '23', '20']",1900-01-01 00:19:10,1900-01-01 00:21:22,23000,25640,2.2,132.0
18,['9'],1900-01-01 00:19:10,1900-01-01 00:21:22,23000,25640,2.2,132.0
19,"['26', '27']",1900-01-01 00:19:32,1900-01-01 00:20:09,23440,24180,0.62,37.0
20,"['28', '37']",1900-01-01 00:19:32,1900-01-01 00:20:09,23440,24180,0.62,37.0
21,"['26', '27', '28', '37']",1900-01-01 00:20:09,1900-01-01 00:25:40,24180,30800,5.52,331.0
22,"['12', '15']",1900-01-01 00:20:19,1900-01-01 00:28:00,24380,33600,7.68,461.0
23,"['31', '2']",1900-01-01 00:19:52,1900-01-01 00:22:41,23840,27220,2.82,169.0
24,"['13', '36']",1900-01-01 00:19:52,1900-01-01 00:22:41,23840,27220,2.82,169.0
25,"['9', '4', '23', '20']",1900-01-01 00:21:22,1900-01-01 00:22:20,25640,26800,0.97,58.0
26,['9'],1900-01-01 00:22:20,1900-01-01 00:22:52,26800,27440,0.53,32.0
27,"['4', '23', '20']",1900-01-01 00:22:20,1900-01-01 00:22:52,26800,27440,0.53,32.0
28,"['31', '2', '13', '36']",1900-01-01 00:22:41,1900-01-01 00:22:48,27220,27360,0.12,7.0
29,"['31', '2', '13']",1900-01-01 00:22:48,1900-01-01 00:24:44,27360,29680,1.93,116.0
30,['36'],1900-01-01 00:22:48,1900-01-01 00:24:33,27360,29460,1.75,105.0
31,"['9', '4', '23', '20']",1900-01-01 00:22:52,1900-01-01 00:24:30,27440,29400,1.63,98.0
32,['9'],1900-01-01 00:24:30,1900-01-01 00:24:55,29400,29900,0.42,25.0
33,"['4', '23', '20']",1900-01-01 00:24:30,1900-01-01 00:24:55,29400,29900,0.42,25.0
34,"['7', '36']",1900-01-01 00:24:33,1900-01-01 00:24:39,29460,29580,0.1,6.0
35,['7'],1900-01-01 00:24:39,1900-01-01 00:25:43,29580,30860,1.07,64.0
36,"['31', '2', '13', '36']",1900-01-01 00:24:44,1900-01-01 00:25:02,29680,30040,0.3,18.0
37,"['9', '4', '23', '20']",1900-01-01 00:24:55,1900-01-01 00:25:55,29900,31100,1.0,60.0
38,"['31', '2']",1900-01-01 00:25:02,1900-01-01 00:26:57,30040,32340,1.92,115.0
39,"['13', '36']",1900-01-01 00:25:02,1900-01-01 00:25:46,30040,30920,0.73,44.0
40,['8'],1900-01-01 00:25:25,1900-01-01 00:28:00,30500,33600,2.58,155.0
41,['24'],1900-01-01 00:25:25,1900-01-01 00:25:43,30500,30860,0.3,18.0
42,"['26', '27']",1900-01-01 00:25:40,1900-01-01 00:26:05,30800,31300,0.42,25.0
43,"['28', '37']",1900-01-01 00:25:40,1900-01-01 00:26:05,30800,31300,0.42,25.0
44,"['7', '24']",1900-01-01 00:25:43,1900-01-01 00:28:00,30860,33600,2.28,137.0
45,"['13', '36', '14', '25']",1900-01-01 00:25:46,1900-01-01 00:26:21,30920,31620,0.58,35.0
46,"['9', '20']",1900-01-01 00:25:55,1900-01-01 00:28:00,31100,33600,2.08,125.0
47,"['4', '23']",1900-01-01 00:25:55,1900-01-01 00:28:00,31100,33600,2.08,125.0
48,"['26', '27', '28', '37']",1900-01-01 00:26:05,1900-01-01 00:26:51,31300,32220,0.77,46.0
49,"['14', '25']",1900-01-01 00:26:21,1900-01-01 00:28:00,31620,33600,1.65,99.0
50,"['13', '36']",1900-01-01 00:26:21,1900-01-01 00:26:57,31620,32340,0.6,36.0
51,"['31', '2', '13', '36']",1900-01-01 00:26:57,1900-01-01 00:27:57,32340,33540,1.0,60.0
52,"['31', '2', '13']",1900-01-01 00:27:57,1900-01-01 00:28:00,33540,33600,0.05,3.0
53,['36'],1900-01-01 00:27:57,1900-01-01 00:28:00,33540,33600,0.05,3.0
